Rank,Question,Bot Response,Confidence
151,nursing progarm,"The nursing program at St. John's University will be located at the Queens, NY, campus in the new St. Vincent Health Sciences Center, opening in Fall 2024.",high
152,sat test,"Point to: ""hi are you test optional for the sat?""",high
153,my email is not working,"Point to: ""solutions signon first time""",high
154,how do i set up my email,"A Microsoft Office 365 **[email](https://outlook.office.com/owa/)** account has been created for you.  

<br/>You can access your email by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or using the Connect app on your smartphone and clicking on Office 365 Mail icon.",high
155,i tried but i cant,I see that you are getting frustrated. Please rephrase as a single concise question.,high
156,how do i know if i am eligible for financial aid,"To determine your eligibility for financial aid at St. John's University, you need to complete the Free Application for Federal Student Aid (FAFSA®) each academic year. The university reviews the information provided on your FAFSA to assess your eligibility for state, federal, and institutional aid. Your aid offer considers federal and state requirements, your financial need, and available funding levels. Financial need is calculated as the difference between your Cost of Attendance and your Student Aid Index, which is determined by the federal government's need-analysis formula based on your FAFSA results. You must register for at least six credits applicable toward your degree per term to qualify for most aid programs, with some requiring a minimum of 12 credits per term. For more information, you can visit the [Tuition and Financial Aid](https://www.stjohns.edu/admission/tuition-and-financial-aid) page.",high
157,financical aid,"Would you like to speak with someone from Student Financial Services?

For **Student Financial Services** questions:

<br/>Send an email to [**studentfinancialserv@stjohns.edu**](mailto:studentfinancialserv@stjohns.edu).

<br/>You can call us at [(718) 990-2000](tel:7189902000)  (Mon.-Thurs. 8:30am-4:30pm, Fri. 8:30am-3pm.)

Yes

No",high
158,i need help loging in,,none
159,how do i print,You can print wirelessly using our [**WEPA**](https://ithelp.stjohns.edu/support/solutions/articles/16000035466-how-do-i-use-wireless-printing-with-wepa-) print kiosks.,high
160,through zoom,,none
161,how do i download microsoft office,"To download Microsoft Office from St. John's University, follow these steps:

1. Log in to the SJU Sign-On Portal at [https://signon.stjohns.edu](https://signon.stjohns.edu/).
2. Click on the Office 365 Office Portal app.
3. If you see an orange Install Office button, click on it to download an .exe package that will install the Microsoft software your account is licensed for.
4. During the installation process, sign in with your University account when prompted.",high
162,i dont remeber my username,,none
163,how do i get an application fee waiver,"Point to: ""application fee waiver for international applicants""",high
164,is this an accredited college,"Yes, St. John’s University is accredited by the [Middle States Commission on Higher Education (MSCHE)](https://www.msche.org/), which is a recognized institutional accrediting agency.",high
165,i would like to get information on the nursing program,"St. John's University offers a Nursing, Bachelor of Science program. The program aligns with the American Association of College of Nursing (AAGN)'s The Essentials of Baccalaureate Education for Professional Nursing Practice. For more information about the program, you can visit [here](https://www.stjohns.edu/academics/programs/nursing-bachelor-science). Currently, St. John's University does not offer a Master's in Nursing program, but those interested in health science and health-care fields can explore other programs [here](https://www.stjohns.edu/academics/programs?interest=427746).",high
166,how do i reapply,"To reapply to St. John's University as a readmit student, you need to complete the [Readmit Supplemental Application](https://www.stjohns.edu/files/re-admit-supplemental-application) and return it to the Office of Undergraduate Admission. You may also be required to submit additional credentials such as official high school transcripts, standardized test scores, college transcripts, a statement of activity, and other documents as determined by the Office of Undergraduate Admission. For questions regarding the readmit application process, you can call 718-990-2000 or email [admission@stjohns.edu](mailto:admission@stjohns.edu?subject=Readmit%20Application%20process%20question). Make sure to submit your application and all requested documentation by the specified deadlines.",high
167,how do i apply for grad school,"To apply for graduate school at St. John's University, you need to:

1. Complete a graduate online [application](https://www.stjohns.edu/admission/apply?utm_source=Home%20Page&utm_medium=Website&utm_campaign=June%202021%20Changes).
2. Pay a non-refundable application fee of $70 USD.
3. Provide evidence of a baccalaureate degree from an accredited college or university, including official transcripts from each institution attended.
4. If you have transcripts from international universities, they must be accompanied by an evaluation from a [NACES](https://www.naces.org/) accredited evaluation source, including a detailed course-by-course comparison and U.S. GPA on a 4.0 scale.
5. Submit satisfactory scores from TOEFL, IELTS, or Duolingo exams directly to the Office of Graduate Admission. The school testing code is 2799.
6. Provide additional admission documents as required by your program of interest.

For more information, you can contact the Office of Graduate Admission at 718-990-1601 or [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu).",high
168,how do i find my instructors email,"Point to: ""can you provide me with the email address for alana glaser, a professor at st. john's?""",high
169,i want to know if i am eligible to apply,,low
170,how do i apply online,"To apply online to St. John's University, you need to submit an online application at [grad.stjohns.edu/apply](https://grad.stjohns.edu/apply). Additionally, you should provide a statement of professional goals and résumé, official transcripts from all schools attended, one letter of recommendation, and, if applicable, a foreign credit evaluation and official English proficiency test scores. For questions, you can contact the Office of Graduate Admission at 718-990-1601 or Tobingradnyc@stjohns.edu.",high
171,i would like to schedule a visit,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). If you have questions before your visit, you can contact St. John's University at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
172,i want to know about the admission process,"Point to: ""solutions admissions""",high
173,how do i apply for housing,"Students planning to live on-campus must submit their non-refundable housing deposit by the deadline. To learn more about the housing deposit deadline and housing process, visit [Housing Selection](https://www.stjohns.edu/queens-residential-campus/residence-life/housing-selection). For room and board rates, visit [here](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/room-and-board).

<br/>
If the deadline has passed, contact the Customer Service Center at [718-990-2000](tel:7189902000).

<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
174,how do i decline my offer of admission,"Thank you for contacting St. John’s University. We are sorry you won't be joining the Red Storm family. To decline admission, please contact the Office of Undergraduate Admission at [admhelp@stjohns.edu](emailto:admhelp@stjohns.edu)
<br/><br/>
On behalf of St. John's, we wish you all the best in your future academic endeavors.",high
175,admission office,"Questions concerning admission procedures or graduate programs offered by St. John's University should be directed to the Office of Graduate Admission. You can contact them at (718) 990-1601, fax (718) 990-2346, or email gradadm@stjohns.edu.",high
176,what are the sat scores,"Point to: ""hi are you test optional for the sat?""",high
177,what is the minimum score for the toefl,"The minimum TOEFL iBT score required for admission consideration for international students who are not U.S. citizens is 61. However, if you are applying from a school or college in the United States or another English-speaking country, the minimum TOEFL iBT score required is 88. For more details, you can learn about application requirements [here](https://www.stjohns.edu/admission/international-admission).",high
178,what email do i send my highschool transcript to,You should send your high school transcript to the Office of Undergraduate Admission at St. John's University using the email address admission@stjohns.edu.,high
179,when is the deadline for fall admission,"Point to: ""solutions deadlines""",high
180,i have some questions about my financial aid,"For questions about financial aid at St. John's University, you can visit their [Financial Aid](https://www.stjohns.edu/admission/tuition-and-financial-aid) website or contact the Office of Financial Aid at the Queens/Manhattan Campus. You can also email them at [financialaid@stjohns.edu](mailto:financialaid@stjohns.edu) or call 718-990-2000. If you have specific questions about assistantships or fellowships, you should contact the dean or director of your intended academic program. Additionally, the St. John’s Customer Service Center can assist with financial aid inquiries.",high
181,i cannot log in to my ace account,,none
182,i am having trouble with my log in,"You can try resetting your password by following this [video](https://youtu.be/bPZI6iF6aVo), or you could try unlocking your account by following [these directions](https://ithelp.stjohns.edu/support/solutions/articles/16000043317). If neither of those work, support is available Monday through Friday from 7:30 AM to 7:30 PM at 718-990-5000.",high
183,how do i log in to my account,"Point to: ""solutions signon first time""",high
184,i need to open a ticket,"You can open a support ticket for your issue by visiting the [ticketing page](https://ithelp.stjohns.edu/support/tickets/new). If you would like to track your tickets, you can sign in by clicking on the ""Sign In"" link in the upper right corner, which will route you to https://signon.stjohns.edu to log in.",high
185,i have a question about housing,You can find information about the housing options at Queens Campus on the St. John's University website. Here is the link: [Queens Campus Residence Halls](https://www.stjohns.edu/life-st-johns/residence-life/queens-campus/residence-halls).,high
186,do you offer bachelors degree,"Yes, St. John's University offers Bachelor of Arts and Bachelor of Science degrees.",high
187,what documents do i need to submit,"Point to: ""solutions application""",high
188,master of business administration,"Point to: ""solutions degrees""",high
189,how do i submit a letter of recommendation,"You can submit a letter of recommendation to St. John's University through the following methods:

1. **Student Portal**: Login to the [student portal](https://apply.stjohns.edu/apply/) to upload documents.
2. **Slate.org**: This is the preferred method for guidance counselors to securely upload documents directly to a student’s application.
3. **Fax**: Send documents via fax to 718-990-2096.
4. **Mail**: Send documents via snail mail to:

   St. John’s University  
   Office of Undergraduate Admission  
   Attn: Undergraduate Admission Processing  
   8000 Utopia Parkway  
   Queens, NY 11439

Please do not email documents unless they are password encrypted.",high
190,how long does it take to get an acceptance letter,,low
191,toefl test,"You need to know the minimum TOEFL examination scores required: 550 for paper-based, 230 for computer-based, or 88 for internet-based tests. International applicants must provide notarized English translations of all academic transcripts and documentation related to educational history. Official TOEFL scores must be submitted to complete enrollment at St. John’s, and failure to do so may result in the admission decision being rescinded. You can submit official TOEFL scores through [ETS](https://www.ets.org/toefl/test-takers/ibt/scores/send-scores.html) using St. John’s school code: 2799. Further details are available on Page 8 of the [Undergraduate Bulletin](https://www.stjohns.edu/academics/academic-resources/bulletins/undergraduate-bulletin).",high
192,how do i sign up for orientation,"To sign up for orientation at St. John's University, you must first pay your deposit. After that, you can register for the Orientation Connection Days. If you have any questions, you can contact them at [orientation@stjohns.edu](http://mailto:orientation@stjohns.edu) or 718-990-5353. For more information, you can check the [New Student Guide Checklist](https://www.stjohns.edu/admission/undergraduate-admission/accepted-students/new-student-guide-checklist).",high
193,what is the ranking of this university,St. John’s University is ranked #166 among national universities according to the U.S. News & World Report.,high
194,who is the head of admissions,,low
195,how do i email the financial aid office,You can contact the Office of Student Financial Services at [studentfinancialserv@stjohns.edu](mailto:studentfinancialserv@stjohns.edu).,high
196,how do i withdraw my applcation,"If you want to drop all your classes, you must complete a Change of Program and inform your dean of this in writing. Read more on [Withdrawals and Credits](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/withdrawals-and-credits).",high
197,how do i submit documents,"You can submit documents to St. John's University in the following ways:

1. **Online (preferred method):** 
   - Visit [apply.stjohns.edu/apply](https://apply.stjohns.edu/apply/) to access the Online Student Portal.
   - Use your application login credentials if you applied via the St. John’s Application.
   - If you applied via the Common Application and haven't logged in before, use the temporary password (PIN) sent to you via email.
   - Once logged in, you can upload the required documents.

2. **By mail:** 
   - Send documents to:
     ```
     St. John’s University
     Office of Undergraduate Admission
     Attn: Undergraduate Admission Processing
     8000 Utopia Parkway
     Queens, NY 11439
     ```
   - Note: Mailing documents is not recommended at this time.

3. **slate.org (preferred method for guidance counselors):** 
   - Guidance counselors can securely upload documents directly to a student’s application using this tool.

4. **Fax:** 
   - Send documents to 718-990-2096.

Please do not email documents unless they are password encrypted. For questions, you can contact St. John's University at 718-... Find more information at http://www.stjohns.edu/admission/undergraduate-admission/application-requirements.",high
198,how do i submit my test scores,"You can submit your test scores to St. John's University in one of the following ways:

1. Have your school counselor submit your official SAT/ACT scores directly to St. John’s via [slate.org](https://slate.org/).
2. For SAT scores, request that the [College Board](https://www.collegeboard.org/) (St. John's school code: 2799) submit your official scores directly to St. John’s.
3. For ACT scores, have the [ACT Company](https://www.act.org/) (St. John's school code: 2888) send your official scores, then upload them to your [Online Student Portal](https://apply.stjohns.edu/account/login?r=https%3a%2f%2fapply.stjohns.edu%2fapply%2fstatus).

Ensure you use your legal name on all documents to match them successfully with your application.",high
199,i need help with admissions,"For assistance with the admissions process at St. John's University, you can contact the Office of Graduate Admission at 718-990-1601, fax 718-990-2346, or email [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu) for graduate programs. For undergraduate admissions, you can visit the [Undergraduate Admission online](http://www.stjohns.edu/admission-aid/undergraduate-admission) or contact the Admission Office at the Queens Campus at 718-990-2000, [admissions@stjohns.edu](mailto:admissions@stjohns.edu), or the Staten Island campus at 718-390-4500, [siadmissions@stjohns.edu](mailto:siadmissions@stjohns.edu).",high
200,what is the minimum sat score for admission,,low
201,do i need to take the sat or act,"SAT or ACT scores are not required for applicants from English-speaking countries, students who have completed their entire high school education in the United States, students who submit an English Language proficiency test score, or students requesting to be reviewed for Conditional Admission. If you are not required to submit an English language proficiency result and do not want to submit an SAT/ACT, you can request to be reviewed as Test-Optional through your student application portal. However, if you would like to submit SAT or ACT results, you can use St. John’s school code 2799 for SAT and 2888 for ACT.",high
202,i need to readmission,"To apply for readmission to St. John’s University, you need to complete the [Readmit Supplemental Application](https://apply.stjohns.edu/register/?id=b0d7031c-120b-4a1f-8975-14143ec63376) and submit it to the Office of Undergraduate Admission. You may also need to provide additional credentials such as official high school transcripts, standardized test scores, college transcripts, a statement of activity, and other documents as required. The deadline for the Spring 2024 term is January 5, 2024, and the deadline for the Fall 2024 term will be announced soon. If you have questions, you can call 718-990-5533 or email [admission@stjohns.edu](mailto:admission@stjohns.edu?subject=Readmit%20Application%20process%20question).",high
203,when should i apply,"Point to: ""i want to apply to this institution.""",high
204,how do i make an appointment with an admissions counselor,,low
205,i already applied,,none
206,admissions application,"Point to: ""how do i apply?""",high
207,what is the deadline for fafsa,"The federal deadline for submitting the FAFSA is June 30. However, different states and colleges may have their own deadlines.",high
208,scholarrship,"St. John's University offers a range of scholarships including undergraduate student scholarships, transfer student scholarships, international student scholarships, and graduate student scholarships. You can find more information on these scholarships at the following links: 

- [Undergraduate Student Scholarships](https://www.stjohns.edu/admission/scholarships)
- [Transfer Student Scholarships](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships)
- [International Student Scholarships](https://www.stjohns.edu/admission/international-admission/faqs)
- [Graduate Student Scholarships](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships)",high
209,what time does the financial aid office open,"Point to: ""solutions speak to financial aid""",high
210,why is my wifi not working,"Point to: ""solutions wifi""",high
211,where can i find information about scholarships,"You can find information about scholarships at St. John's University through the following links:

- For **undergraduate student scholarships**, visit [here](https://www.stjohns.edu/admission/scholarships).
- For **transfer student scholarships**, visit [here](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships).
- For **international student scholarships**, visit the FAQ section [here](https://www.stjohns.edu/admission/international-admission/faqs).
- For **graduate student scholarships**, visit [here](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships).",high
212,what types of financial aid are available,"St. John's University offers several types of financial aid for graduate students, including:

1. **Federal and Institutional Financial Assistance**: Based on academic ability and financial need, assessed through the Federal Methodology needs analysis. Students must submit the Free Application for Federal Student Aid (FAFSA) to be considered.

2. **Tuition Assistance Program (TAP)**: Available for full-time graduate students who are New York State residents. Completing the FAFSA automatically considers students for TAP.

3. **Assistantships and Fellowships**: Available in various fields such as humanities, sciences, education, business administration, and pharmacy. These provide tuition remission, and for some, fees are also covered and/or a stipend is available. Assistantships involve working with university faculty or departments, while fellowships are for research.

4. **International Graduate Financial Aid & Financing Options**: Limited assistantships and fellowships are available for international students.

For more information and to apply, students can visit the [St. John's University graduate admission page](https://www.stjohns.edu/admission/tuition-and-financial-aid/graduatelaw-aid/grad.stjohns.edu/apply).",high
213,microsoft office,The [Microsoft Office-Booking-Teams](https://ithelp.stjohns.edu/support/solutions/folders/16000058774/page/1) resource is full of information on using Microsoft software.,high
214,i need help resetting my password,"To reset your password, you can visit [https://signon.stjohns.edu](https://signon.stjohns.edu) and select ""Need help signing in?"" If you continue to have issues, please contact the IT Service Desk at (718) 990-5000, available Monday to Friday, 7:30am to 7:30pm EST, for further assistance.",high
215,phone line,The phone number for the IT Service Desk at St. John's University is (718) 990-5000.,high
216,is there a admission fee,"The online application for all 100+ undergraduate programs at St. John's University is free. However, graduate applications carry a low cost for most programs. You can [learn more about application fees](https://www.stjohns.edu/admission/apply).",high
217,how can i get admission to the university,"To get admission to St. John's University as a graduate student, you need to:

1. Complete a graduate online [application](https://www.stjohns.edu/admission/apply?utm_source=Home%20Page&utm_medium=Website&utm_campaign=June%202021%20Changes).
2. Pay a non-refundable application fee of $70 USD.
3. Provide evidence of a baccalaureate degree from an accredited college or university, including official transcripts from each institution attended.
4. If you have transcripts from international universities, they must be accompanied by an evaluation from a [NACES](https://www.naces.org/) accredited evaluation source, including a detailed course-by-course comparison and U.S. GPA on a 4.0 scale.
5. Submit satisfactory scores from TOEFL, IELTS, or Duolingo exams directly to the Office of Graduate Admission. The school testing code is 2799.
6. Provide additional admission documents as required by the specific program of interest.

For more information, you can contact the Office of Graduate Admission at 718-990-1601 or email [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu).",high
218,i want to join in your university,"Point to: ""solutions application""",high
219,can i edit an application,"Applicants cannot upload or update coursework or any other documents in CASPA once their application has been verified. Any updates provided to CASPA after the initial application submission will not be sent to the program following verification. However, for other documents, you can upload them through the [student portal](https://apply.stjohns.edu/apply/) after submission.",high
220,do you accept international students,"Yes, St. John's University accepts international students and offers various programs and support services for them, including merit scholarships and additional scholarships for first-time freshmen. International students are encouraged to contact the Office of International Student and Scholar Services (ISSSO) for assistance. More information can be found [here](https://www.stjohns.edu/admission/international-admission/international-student-and-scholar-services).",high
221,what score do i need on my act,,low
222,what is the deadline to apply for fall 2022,"Point to: ""solutions deadlines""",high
223,admissions counselor email,"Who do you want to speak to?

You can contact the Office of Undergraduate Admission at:

<br/>Phone: [718-990-2000](tel:7189902000)
<br/>Email: [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu)

You can contact the Office of Graduate Admissions at:

<br/>Phone: [718-990-1601](tel:7189901601)
<br/>Email: [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu)

You can contact Transfer Admissions at:

<br/>Phone: [718-990-2051](tel:7189902051)
<br/>Email: [transfers@stjohns.edu](mailto:transfers@stjohns.edu)

Undergraduate Admissions

Graduate Admissions

Transfer Admissions",high
224,withdrawing application,"To withdraw your application from St. John's University, you should contact the Office of Undergraduate Admission at [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu).",high
225,where is the financial aid office located,Student Financial Services is located across from Carnesseca Arena for Queens and Manhattan students.,high
226,what do the dorms look like,"At St. John's University, the dorms on the Queens campus include suite-style housing with in-suite bathrooms and traditional corridor-style housing. The suite-style dorms have four bedrooms in combinations of single, double, or triple occupancy, with twin-size beds, closets, desks, and dressers. They also include two bathrooms, a kitchenette with a microwave and small refrigerator, a dining area, and a living area with a cushioned sofa and chairs. The traditional corridor-style dorms have two bedrooms in combinations of triple or quad occupancy, with a shared bathroom adjoining two bedrooms.

The Staten Island campus offers garden-style apartments with two or three bedrooms in combinations of single, double, or triple occupancy. These apartments include a living area with a cushioned sofa, coffee table, lounge chair, dining table, and chairs, as well as a full-service kitchen with a refrigerator/freezer, microwave, and stove. All residential facilities are air-conditioned and have 24/7 desk security.",high
227,admission decison,,low
228,when does the fall 2023 application open,,none
229,are there study abroad opportunities,"Yes, St. John's University offers study abroad opportunities. Students can participate in study abroad courses during the academic year, as well as the winter and summer semesters, at the University's campuses in Rome, Italy, and Paris, France. For more information, you can visit the [Global Education](https://www.stjohns.edu/academics/global-education) and [Global Studies](https://www.stjohns.edu/academics/global-programs) pages or contact the Office of International Education at [studyabroad@stjohns.edu](mailto:studyabroad@stjohns.edu).",high
230,how do i submit sat scores,,low
231,i want to continue with my application,"Point to: ""solutions admissions""",high
232,do i need to submit a transcript,"Yes, you need to submit an official transcript. Official transcripts must be submitted to the processing center as part of the application process for graduate school.",high
233,when will my financial aid be disbursed,Your financial aid funds at St. John's University are disbursed to your account once you confirm your registration as an enrolled paid student and in accordance with the published scheduled disbursement dates. You can find these dates on your personal University Information System (UIS) account.,high
234,im having trouble signing into my email,"Point to: ""solutions signon first time""",high
235,access to email,"To access your St. John's University email account, connect to [SignOn](https://signon.stjohns.edu/) and then click on Office 365 Mail. Your email account is a Microsoft Office 365 account created for you by the university.",high
236,i tried that and it didnt work,"Point to: ""solutions agent""",high
237,how do i apply for fafsa,"To apply for FAFSA at St. John's University, follow these steps:

1. Complete the Free Application for Federal Student Aid (FAFSA) online at [studentaid.gov](https://studentaid.gov/h/apply-for-aid/fafsa). 

2. Ensure that you include St. John's University Title IV federal school code, which is 002823, on your FAFSA application.

3. Keep copies of all documents used to complete the FAFSA in case your application is selected for federal verification.

Remember, you must complete a FAFSA every year to receive any type of federal or state financial aid, including federal student loans. New students should not wait to be admitted to the University to apply. Make sure to complete the application for the correct academic year.",high
238,how do i view my financial aid package,"You can find your Financial Aid Package by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or use the connect app on your smart phone. Choose the New UIS Experience widget, go to Financial Aid Awards and click on Financial Aid Award Letter and choose your aid year to view your Financial Aid Package.

<br/>For more information, refer to [How do I view my Financial Aid Award Package in New UIS Experience?](https://ithelp.stjohns.edu/support/solutions/articles/16000082757).",high
239,how much does it cost to go here,"Point to: ""solutions tuition""",high
240,connect to wifi,"Point to: ""solutions wifi""",high
241,i forgot my email and password,"**Default password:** 
<br/>Sjxxxxxxxx (where xxxxxxxx is your Storm Card ID card number) 
<br/>**This is the eight digit number on the front of your Photo ID card. It is not your X number.**

<br/>If you forget the password you created, follow this [video](https://youtu.be/bPZI6iF6aVo) on how to reset your forgotten password or follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016145-i-forgot-my-password-to-log-in-to-the-sign-on-portal-how-do-i-reset-my-account-).",high
242,hello i need help with my email,"Point to: ""solutions signon first time""",high
243,how do i apply for admission as international student,"To apply for admission as an international student at St. John's University, you should choose the appropriate [application](https://www.stjohns.edu/admission/apply) for the program you are interested in. If you are considering Conditional Admission, notify the Office of International Education and contact them for assistance with the process. For more information, you can reach out to the International Admission office at St. John's University via email at [intladm@stjohns.edu](mailto:intladm@stjohns.edu) or by phone at 01-718-990-2000.",high
244,how do i accept my admission,"Thank you for contacting St. John’s University. We are sorry you won't be joining the Red Storm family. To decline admission, please contact the Office of Undergraduate Admission at [admhelp@stjohns.edu](emailto:admhelp@stjohns.edu)
<br/><br/>
On behalf of St. John's, we wish you all the best in your future academic endeavors.",high
245,do i need to take the gre,"There are certain programs at St. John's that require the [GRE General exam](https://www.ets.org/gre) , while others may require both the GRE General and Subject exam.  Check below for a list of those departments.

Other departments do not require the GRE's for application consideration.

- Speech (M.A.)Requires [GRE General Exam](https://www.ets.org/gre) for those applying for admission to any semester beginning with Fall 2010
- English (M.A. and D.A.)Requires [GRE General Exam](http://www.ets.org/gre)
- Biology (M.S. and Ph.D.)Requires [GRE General Exam](http://www.ets.org/gre) 
- Clinical Psychology (Ph.D.)Requires [GRE General and Subject Exams](http://www.ets.org/gre) (Subject required for non-psych majors)
- School Psychology (M.S. and Psy.D.)Requires [GRE General and Subject Exams](http://www.ets.org/gre) (Subject required for non-psych majors)
- College of Pharmacy and Health Sciences (M.S. and Ph.D.)Requires [GRE General Exam](http://www.ets.org/gre) 
- Institute for Biotechnology (M.S. Biological and Pharmaceutical Biotechnology)Requires [GRE General Exam](http://www.ets.org/gre) for admission; [GRE Subject Exam](http://www.ets.org/gre) during first academic year
- School of Education (Ed.D.)Requires [GRE General Exam](http://www.ets.org/gre)

For GMAT and GRE requirements for The Peter J. Tobin College of Business, please contact 718-990-1345 or [TobinGradNYC@stjohns.edu](https://www.stjohns.edu/cdn-cgi/l/email-protection).",high
246,can i have a virtual tour,,none
247,how do i schedule an campus visit,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). If you have questions before your visit, you can contact St. John's University at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu). For school group tours or to customize your on-campus experience during the summer, you can reach out to their team at [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
248,what are the requirements for transfer student,"The admission requirements for a transfer student at St. John's University can be found [here](https://www.stjohns.edu/admission/st-johns-welcomes-transfer-students/application-requirements#:~:text=A%20minimum%203.0%20cumulative%20GPA,at%20the%20time%20of%20admission).",high
249,can i get a associates degree,"Yes, you can get an Associate's degree at St. John's University. They offer Associate in Arts (A.A.) with a concentration in liberal arts and Associate in Science (A.S.) degrees.",high
250,i have a question about admission requirements,"Undergraduate Application

Graduate Application",high
251,how do i know if my application was received,,low
252,is this a private or public school,St. John's University is a private Catholic university.,high
253,how do i apply for the nursing program,"St. John’s University honors a rolling admission policy, which means the admission committee will consider applications for admission throughout the year for most programs as long as space is available.
<br/>
However, we encourage students to apply by the Early Action dates, as admission consideration is given to applications received by the deadlines. Please note there are some dates and deadlines for priority status or admission to a specific program.
<br/>
To apply or learn more about the application process, requirements, and deadlines, visit [Apply](https://www.stjohns.edu/admission/apply).",high
254,do you have rolling admission,"Yes, St. John’s University honors a rolling admission policy, which means the admission committee will consider applications for admission throughout the year for most programs as long as space is available.",high
255,bachelors degree,"St. John's University offers the following bachelor's degrees:

**Bachelor of Arts:**
- Anthropology
- Art History
- Asian Studies
- Communication Studies
- Economics
- English
- Environmental Sustainability and Decision-Making
- French
- Global Development and Sustainability
- Government and Politics
- History
- Italian
- Mathematics
- Philosophy
- Psychology
- Public Administration and Public Service
- Social Studies
- Sociology
- Spanish
- Speech-Language Pathology and Audiology
- Theology

**Bachelor of Science:**
- Biochemistry
- Biology
- Chemistry
- Computer Science
- Computing and Machine Learning
- Environmental Science
- Mathematical Physics
- Mathematics
- Physical Science
- Physics

**Bachelor of Fine Arts:**
- Fine Arts
- Graphic Design
- Illustration
- Photography

Some programs are available only on specific campuses, and combined B.A./M.A. or B.S./M.S. programs are available for certain majors.",high
256,what is the age requirement,,low
257,i cant submit my application,I see that you are getting frustrated. Please rephrase as a single concise question.,high
258,do i have to live on campus,Students are not required to live on campus.,high
259,how do i apply for nursing,,none
260,when is move in day,You can find the Move-in schedule on the **[Move-in Survival Guide](https://www.stjohns.edu/queens-residential-campus/residence-life/move-survival-guide)** page.,high
261,can i get accepted with a 28 gpa,"Point to: ""what high school classes are required for a bachelor's degree?""",high
262,what is the minimum required gpa for admission,"Point to: ""what are the gpa requirements for admission to st. john's university?""",high
263,asdfasdfsaf,,none
264,how can i make a appointment with financial aid,,none
265,it it,Students are not required to live on campus at Montclair State University.,high
266,what is the phone number for the help desk,"Point to: ""solutions agent""",high
267,how do i set up multifactor authentication,Please see this [video](https://youtu.be/hh1sR9ng_h4),high
268,how can i reset my email password,"To reset your email password, follow these steps:

1. Visit [signon.stjohns.edu](http://signon.stjohns.edu/).
2. Click on the red ""Forgot Password"" button.
3. Enter your email address in the appropriate format: students use @my.stjohns.edu, and employees/faculty/affiliates use @stjohns.edu.
4. Choose to receive a reset code via SMS or VoiceCall.
5. Enter the verification code sent to you and click the VERIFY button.
6. Answer the security question you set up when creating your account. If you have forgotten the answer, call the Service Desk at (718) 990-5000 for assistance.
7. Enter a new password that meets the specified requirements.

For further assistance, you can also watch this [video](https://youtu.be/bPZI6iF6aVo) or contact the Service Desk during business hours, Monday to Friday, 7:30 AM to 7:30 PM.",high
269,how do i download office 365,Please refer to [Microsoft Office 365 Solutions webpage](https://ithelp.stjohns.edu/support/solutions/articles/16000061668).,high
270,how can i see my finanial aid,"You can find your Financial Aid Package by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or use the connect app on your smart phone. Choose the New UIS Experience widget, go to Financial Aid Awards and click on Financial Aid Award Letter and choose your aid year to view your Financial Aid Package.

<br/>For more information, refer to [How do I view my Financial Aid Award Package in New UIS Experience?](https://ithelp.stjohns.edu/support/solutions/articles/16000082757).",high
271,i have a question about fafsa,,low
272,how do i apply for a scholarship,"Point to: ""solutions scholarships""",high
273,i need the email address for the it department,,low
274,how do i sign up,"Point to: ""how do i apply?""",high
275,im still in high school,,none
276,when is the deadline for transfer students application,"The application deadline for transfer students for fall admission is on a rolling basis, beginning November 1. For spring admission, it is also on a rolling basis, with applications encouraged to be submitted by January 1. Transfer students applying to the Pharm.D. program should submit their application by August 17 for fall admission and by January 5 for spring admission, as they are admitted on a space-available basis.",high
277,do i need to submit an essay,"An essay is strongly encouraged but not required for transfer students applying to St. John's, except for those applying to the Pharmacy program, which requires an essay.",high
